name,age,birthday,league,season,position,current_club,minutes_played_overall,nationality,goals_overall,assists_overall,penalty_goals,yellow_cards_overall,red_cards_overall
Aaron Cresswell,31,12/15/1989,Premier League,2018/2019,Defender,West Ham United,1589,England,0,1,0,1,0
Aaron Lennon,33,4/16/1987,Premier League,2018/2019,Midfielder,Burnley,1217,England,1,1,0,1,0
Aaron Mooy,30,9/15/1990,Premier League,2018/2019,Midfielder,Huddersfield Town,2327,Australia,3,1,1,4,0
Aaron Ramsey,30,12/26/1990,Premier League,2018/2019,Midfielder,Arsenal,1327,Wales,4,6,0,0,0
Aaron Rowe,20,9/7/2000,Premier League,2018/2019,Forward,Huddersfield Town,69,England,0,0,0,0,0
Aaron Wan-Bissaka,23,11/26/1997,Premier League,2018/2019,Midfielder,Crystal Palace,3135,England,0,3,0,5,1
Abdelhamid Sabiri,24,11/28/1996,Premier League,2018/2019,Midfielder,Huddersfield Town,49,Morocco,0,0,0,0,0
Abdoulaye Doucouré,28,1/1/1993,Premier League,2018/2019,Midfielder,Watford,3062,France,5,6,0,7,0
Aboubakar Kamara,26,3/7/1995,Premier League,2018/2019,Forward,Fulham,687,France,3,0,1,2,0
Adalberto Peñaranda Maestre,23,5/31/1997,Premier League,2018/2019,Forward,Watford,0,Venezuela,0,0,0,0,0
Adam David Lallana,32,5/10/1988,Premier League,2018/2019,Midfielder,Liverpool,465,England,0,0,0,1,0
Adam Masina,27,1/2/1994,Premier League,2018/2019,Defender,Watford,1003,Italy,0,1,0,5,0
Adam Smith,29,4/29/1991,Premier League,2018/2019,Defender,AFC Bournemouth,2073,England,1,1,0,6,1
Adama Diakhaby,24,7/5/1996,Premier League,2018/2019,Forward,Huddersfield Town,551,France,0,0,0,1,0
Adama Traoré Diarra,25,1/25/1996,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,890,Spain,1,1,0,1,0
Ademola Lookman,23,10/20/1997,Premier League,2018/2019,Forward,Everton,601,England,0,2,0,0,0
Adrian Mariappa,34,10/3/1986,Premier League,2018/2019,Defender,Watford,1921,Jamaica,0,0,0,3,0
Adrián San Miguel del Castillo,34,1/3/1987,Premier League,2018/2019,Goalkeeper,West Ham United,0,Spain,0,0,0,0,0
Adrien Sebastian Perruchet Silva,32,3/15/1989,Premier League,2018/2019,Midfielder,Leicester City,88,Portugal,0,0,0,0,0
Ainsley Maitland-Niles,23,8/29/1997,Premier League,2018/2019,Midfielder,Arsenal,985,England,1,1,0,3,1
Alberto Moreno,28,7/5/1992,Premier League,2018/2019,Defender,Liverpool,155,Spain,0,0,0,0,0
Aleksandar Mitrović,26,9/16/1994,Premier League,2018/2019,Forward,Fulham,3282,Serbia,11,3,1,7,0
Alex Iwobi,24,5/3/1996,Premier League,2018/2019,Forward,Arsenal,1972,Nigeria,3,6,0,0,0
Alex McCarthy,31,12/3/1989,Premier League,2018/2019,Goalkeeper,Southampton,2250,England,0,0,0,1,0
Alex Oxlade-Chamberlain,27,8/15/1993,Premier League,2018/2019,Midfielder,Liverpool,19,England,0,0,0,0,0
Alex Pritchard,27,5/3/1993,Premier League,2018/2019,Midfielder,Huddersfield Town,2092,England,2,0,0,2,0
Alex Smithies,31,3/5/1990,Premier League,2018/2019,Goalkeeper,Cardiff City,0,England,0,0,0,0,0
Alexander Sørloth,25,12/5/1995,Premier League,2018/2019,Forward,Crystal Palace,173,Norway,0,0,0,0,0
Alexandre Lacazette,29,5/28/1991,Premier League,2018/2019,Forward,Arsenal,2503,France,13,8,0,2,0
Alexandre Nascimento Costa Silva,24,3/16/1997,Premier League,2018/2019,Forward,West Ham United,17,Portugal,0,0,0,0,0
Alexis Sanchez,32,12/19/1988,Premier League,2018/2019,Forward,Manchester United,877,Chile,1,3,0,3,0
Alfie Jones,23,10/7/1997,Premier League,2018/2019,Defender,Southampton,0,England,0,0,0,0,0
Alfie Mawson,27,1/19/1994,Premier League,2018/2019,Defender,Fulham,1131,England,0,0,0,2,0
Alfie Whiteman,22,10/2/1998,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,0,England,0,0,0,0,0
Ali Koiki,20,8/22/2000,Premier League,2018/2019,Defender,Burnley,0,England,0,0,0,0,0
Alireza Jahanbakhsh,27,8/11/1993,Premier League,2018/2019,Forward,Brighton & Hove Albion,1022,Iran,0,0,0,2,0
Alisson Becker,28,10/2/1992,Premier League,2018/2019,Goalkeeper,Liverpool,3420,Brazil,0,0,0,1,0
Alvaro Morata,28,10/23/1992,Premier League,2018/2019,Forward,Chelsea,943,Spain,5,0,0,3,0
Ander Herrera,31,8/14/1989,Premier League,2018/2019,Midfielder,Manchester United,1404,Spain,2,3,0,4,0
André Filipe Tavares Gomes,27,7/30/1993,Premier League,2018/2019,Midfielder,Everton,1986,Portugal,1,1,0,7,0
Andre Gray,29,6/26/1991,Premier League,2018/2019,Forward,Watford,1358,England,7,2,0,2,0
André Schürrle,30,11/6/1990,Premier League,2018/2019,Midfielder,Fulham,1650,Germany,6,0,0,2,0
André-Frank Zambo Anguissa,25,11/16/1995,Premier League,2018/2019,Midfielder,Fulham,1518,Cameroon,0,0,0,3,1
Andreas Christensen,24,4/10/1996,Premier League,2018/2019,Defender,Chelsea,615,Denmark,0,0,0,1,0
Andreas Pereira,25,1/1/1996,Premier League,2018/2019,Midfielder,Manchester United,595,Brazil,1,1,0,5,0
Andrew Robertson,27,3/11/1994,Premier League,2018/2019,Defender,Liverpool,3219,Scotland,0,11,0,4,0
Andrew Surman,34,8/20/1986,Premier League,2018/2019,Midfielder,AFC Bournemouth,1438,England,0,0,0,2,0
Andriy Yarmolenko,31,10/23/1989,Premier League,2018/2019,Forward,West Ham United,459,Ukraine,2,0,0,2,0
Andros Townsend,29,7/16/1991,Premier League,2018/2019,Midfielder,Crystal Palace,3018,England,6,4,0,1,0
Andy Carroll,32,1/6/1989,Premier League,2018/2019,Forward,West Ham United,454,England,0,0,0,2,0
Angel Gomes,20,8/31/2000,Premier League,2018/2019,Midfielder,Manchester United,25,England,0,0,0,0,0
Angelo Ogbonna,32,5/23/1988,Premier League,2018/2019,Defender,West Ham United,1870,Italy,1,1,0,2,0
Angus Gunn,25,1/22/1996,Premier League,2018/2019,Goalkeeper,Southampton,1080,England,0,0,0,0,0
Anthony Driscoll-Glennon,21,11/26/1999,Premier League,2018/2019,Defender,Burnley,0,England,0,0,0,0,0
Anthony Knockaert,29,11/20/1991,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1832,France,2,6,0,5,1
Anthony Martial,25,12/5/1995,Premier League,2018/2019,Forward,Manchester United,1623,France,10,2,1,2,0
Antonio Barreca,26,3/18/1995,Premier League,2018/2019,Defender,Newcastle United,4,Italy,0,0,0,0,0
Antonio Rüdiger,28,3/3/1993,Premier League,2018/2019,Defender,Chelsea,2874,Germany,1,0,0,7,0
Antonio Valencia,35,8/4/1985,Premier League,2018/2019,Defender,Manchester United,466,Ecuador,0,0,0,2,0
Arijanet Muric,22,11/7/1998,Premier League,2018/2019,Goalkeeper,Manchester City,0,Montenegro,0,0,0,0,0
Aron Einar Gunnarsson,31,4/22/1989,Premier League,2018/2019,Midfielder,Cardiff City,2274,Iceland,1,1,0,5,0
Arthur Masuaku,27,11/7/1993,Premier League,2018/2019,Defender,West Ham United,1756,France,0,1,0,2,0
Artur Boruc,41,2/20/1980,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,1080,Poland,0,0,0,2,0
Ashley Barnes,31,10/30/1989,Premier League,2018/2019,Forward,Burnley,2400,England,12,2,2,8,0
Ashley Westwood,31,4/1/1990,Premier League,2018/2019,Midfielder,Burnley,2822,England,2,7,0,5,0
Ashley Young,35,7/9/1985,Premier League,2018/2019,Midfielder,Manchester United,2568,England,2,2,0,10,1
Asmir Begović,33,6/20/1987,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,2160,Bosnia and Herzegovina,0,0,0,0,0
Aymeric Laporte,26,5/27/1994,Premier League,2018/2019,Defender,Manchester City,3057,France,3,3,0,3,0
Ayoze Perez,27,7/29/1993,Premier League,2018/2019,Forward,Newcastle United,2929,Spain,12,2,0,2,0
Bakary Sako,32,4/26/1988,Premier League,2018/2019,Midfielder,Crystal Palace,25,Mali,0,0,0,0,0
Bakayo Sako,0,1/1/1970,Premier League,2018/2019,Midfielder,Arsenal,7,England,0,0,0,0,0
Ben Chilwell,24,12/21/1996,Premier League,2018/2019,Defender,Leicester City,3240,England,0,4,0,4,0
Ben Davies,27,4/24/1993,Premier League,2018/2019,Defender,Tottenham Hotspur,1839,Wales,0,0,0,2,0
Ben Foster,37,4/3/1983,Premier League,2018/2019,Goalkeeper,Watford,3420,England,0,0,0,1,0
Ben Gibson,28,1/15/1993,Premier League,2018/2019,Defender,Burnley,63,England,1,0,0,1,0
Ben Hamer,33,11/20/1987,Premier League,2018/2019,Goalkeeper,Huddersfield Town,553,England,0,0,0,0,0
Ben Mee,31,9/21/1989,Premier League,2018/2019,Defender,Burnley,3420,England,0,2,0,9,0
Ben White,23,10/8/1997,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,England,0,0,0,0,0
Ben Wilmot,21,11/4/1999,Premier League,2018/2019,Defender,Watford,26,England,0,0,0,0,0
Benjamin Johnson,21,1/24/2000,Premier League,2018/2019,Forward,West Ham United,63,England,0,0,0,0,0
Benjamin Mendy,26,7/17/1994,Premier League,2018/2019,Defender,Manchester City,900,France,0,5,0,1,0
Beram Kayal,32,5/2/1988,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,934,Israel,1,1,0,4,0
Bernard Anício Caldeira Duarte,28,9/8/1992,Premier League,2018/2019,Midfielder,Everton,2128,Brazil,1,3,0,5,0
Bernardo,25,5/14/1995,Premier League,2018/2019,Defender,Brighton & Hove Albion,1750,Brazil,0,1,0,4,0
Bernardo Silva,26,8/10/1994,Premier League,2018/2019,Midfielder,Manchester City,2853,Portugal,7,7,0,3,0
Bernd Leno,29,3/4/1992,Premier League,2018/2019,Goalkeeper,Arsenal,2835,Germany,0,0,0,0,0
Bobby Reid,28,2/2/1993,Premier League,2018/2019,Midfielder,Cardiff City,1422,England,5,2,1,0,0
Brian Murphy,37,5/7/1983,Premier League,2018/2019,Goalkeeper,Cardiff City,0,Republic of Ireland,0,0,0,0,0
Bright Enobakhare,23,2/8/1998,Premier League,2018/2019,Forward,Wolverhampton Wanderers,0,England,0,0,0,0,0
Bruno Écuélé Manga,32,7/16/1988,Premier League,2018/2019,Defender,Cardiff City,3375,Gabon,0,1,0,0,0
Bruno Saltor Grau,40,10/1/1980,Premier League,2018/2019,Defender,Brighton & Hove Albion,1136,Spain,0,1,0,2,0
Caglar Söyüncü,24,5/23/1996,Premier League,2018/2019,Defender,Leicester City,371,Turkey,0,0,0,1,0
Callum Hudson-Odoi,20,11/7/2000,Premier League,2018/2019,Midfielder,Chelsea,391,England,0,1,0,0,0
Callum Paterson,26,10/13/1994,Premier League,2018/2019,Defender,Cardiff City,1996,Scotland,4,1,0,4,0
Callum Roberts,23,4/14/1997,Premier League,2018/2019,Forward,Newcastle United,0,England,0,0,0,0,0
Callum Slattery,22,2/8/1999,Premier League,2018/2019,Midfielder,Southampton,110,England,0,0,0,0,0
Callum Wilson,29,2/27/1992,Premier League,2018/2019,Forward,AFC Bournemouth,2535,England,14,9,1,3,0
Calum Chambers,26,1/20/1995,Premier League,2018/2019,Defender,Fulham,2587,England,2,0,0,9,0
Cameron John,21,8/24/1999,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,England,0,0,0,0,0
Carl Jenkinson,29,2/8/1992,Premier League,2018/2019,Defender,Arsenal,166,England,0,0,0,0,0
Carlos Sánchez,35,2/6/1986,Premier League,2018/2019,Midfielder,West Ham United,240,Colombia,0,0,0,0,0
Cedric Soares,29,8/31/1991,Premier League,2018/2019,Defender,Southampton,1494,Portugal,1,2,0,4,0
Cenk Tosun,29,6/7/1991,Premier League,2018/2019,Forward,Everton,1050,Turkey,3,3,0,3,0
Cesar Azpilicueta,31,8/28/1989,Premier League,2018/2019,Defender,Chelsea,3403,Spain,1,5,0,4,0
Cesc Fabregas,33,5/4/1987,Premier League,2018/2019,Midfielder,Chelsea,175,Spain,0,0,0,1,0
Charlie Austin,31,7/5/1989,Premier League,2018/2019,Forward,Southampton,980,England,2,2,0,1,0
Charlie Daniels,34,9/7/1986,Premier League,2018/2019,Defender,AFC Bournemouth,1583,England,1,0,0,4,0
Charlie Taylor,27,9/18/1993,Premier League,2018/2019,Defender,Burnley,3240,England,0,1,0,2,0
Cheikhou Kouyaté,31,12/21/1989,Premier League,2018/2019,Midfielder,Crystal Palace,1897,Senegal,0,2,0,3,0
Chris Löwe,31,4/16/1989,Premier League,2018/2019,Defender,Huddersfield Town,2056,Germany,0,2,0,2,0
Chris Mepham,23,11/5/1997,Premier League,2018/2019,Defender,AFC Bournemouth,849,Wales,0,1,0,1,0
Chris Smalling,31,11/22/1989,Premier League,2018/2019,Defender,Manchester United,2128,England,1,0,0,1,0
Chris Wood,29,12/7/1991,Premier League,2018/2019,Forward,Burnley,2582,New Zealand,10,2,0,2,0
Christian Atsu Twasam,29,1/10/1992,Premier League,2018/2019,Midfielder,Newcastle United,1487,Ghana,1,0,0,2,0
Christian Benteke,30,12/3/1990,Premier League,2018/2019,Forward,Crystal Palace,813,Belgium,1,1,0,1,0
Christian Eriksen,29,2/14/1992,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2772,Denmark,8,12,0,3,0
Christian Fuchs,34,4/7/1986,Premier League,2018/2019,Defender,Leicester City,206,Austria,0,0,0,0,0
Christian Kabasele,30,2/24/1991,Premier League,2018/2019,Defender,Watford,1587,Belgium,0,0,0,4,1
Christopher Schindler,30,4/29/1990,Premier League,2018/2019,Defender,Huddersfield Town,3262,Germany,1,0,0,6,1
Ciaran Clark,31,9/26/1989,Premier League,2018/2019,Defender,Newcastle United,857,Republic of Ireland,3,0,0,1,0
Claudio Andrés Bravo Muñoz,37,4/13/1983,Premier League,2018/2019,Goalkeeper,Manchester City,0,Chile,0,0,0,0,0
Collin Quaner,29,6/18/1991,Premier League,2018/2019,Forward,Huddersfield Town,37,Germany,0,0,0,0,0
Connor Wickham,28,3/31/1993,Premier League,2018/2019,Forward,Crystal Palace,61,England,0,1,0,0,0
Conor Coady,28,2/25/1993,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3420,England,0,0,0,5,0
Conor Coventry,21,3/25/2000,Premier League,2018/2019,Midfielder,West Ham United,0,Republic of Ireland,0,0,0,0,0
Craig Cathcart,32,2/6/1989,Premier League,2018/2019,Defender,Watford,3099,Northern Ireland,3,0,0,2,0
Curtis Jones,20,1/30/2001,Premier League,2018/2019,Midfielder,Liverpool,0,England,0,0,0,0,0
Cyrus Christie,28,9/30/1992,Premier League,2018/2019,Defender,Fulham,1943,Republic of Ireland,0,1,0,7,0
Dale Stephens,31,6/12/1989,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2487,England,1,1,0,7,1
Damián Emiliano Martínez,28,9/2/1992,Premier League,2018/2019,Goalkeeper,Arsenal,0,Argentina,0,0,0,0,0
Dan Burn,28,5/9/1992,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,England,0,0,0,0,0
Dan Gosling,31,2/1/1990,Premier League,2018/2019,Midfielder,AFC Bournemouth,1737,England,2,1,0,8,0
Daniel Amartey,26,12/21/1994,Premier League,2018/2019,Midfielder,Leicester City,640,Ghana,0,0,0,2,0
Daniel Sturridge,31,9/1/1989,Premier League,2018/2019,Forward,Liverpool,496,England,2,1,0,1,0
Daniel William John Ings,28,7/23/1992,Premier League,2018/2019,Forward,Southampton,1668,England,7,3,3,1,0
Daniel Williams,32,3/8/1989,Premier League,2018/2019,Midfielder,Huddersfield Town,93,USA,0,0,0,1,0
Danilo,29,7/15/1991,Premier League,2018/2019,Defender,Manchester City,806,Brazil,1,0,0,1,0
Danny Drinkwater,31,3/5/1990,Premier League,2018/2019,Midfielder,Chelsea,0,England,0,0,0,0,0
Danny Rose,30,7/2/1990,Premier League,2018/2019,Defender,Tottenham Hotspur,1806,England,0,3,0,5,0
Danny Simpson,34,1/4/1987,Premier League,2018/2019,Defender,Leicester City,291,England,0,0,0,0,0
Danny Ward,27,6/22/1993,Premier League,2018/2019,Goalkeeper,Leicester City,0,Wales,0,0,0,0,0
Danny Ward,30,12/9/1990,Premier League,2018/2019,Forward,Cardiff City,440,England,1,0,0,0,0
Danny Welbeck,30,11/26/1990,Premier League,2018/2019,Forward,Arsenal,147,England,1,1,0,0,0
Daryl Janmaat,31,7/22/1989,Premier League,2018/2019,Defender,Watford,1521,Netherlands,0,2,0,3,0
David Brooks,23,7/8/1997,Premier League,2018/2019,Forward,AFC Bournemouth,2278,England,7,5,0,3,0
David Button,32,2/27/1989,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,360,England,0,0,0,0,0
David de Gea,30,11/7/1990,Premier League,2018/2019,Goalkeeper,Manchester United,3420,Spain,0,0,0,1,0
David Junior Hoilett,30,6/5/1990,Premier League,2018/2019,Forward,Cardiff City,2142,Canada,3,1,0,4,0
David Luiz,33,4/22/1987,Premier League,2018/2019,Defender,Chelsea,3239,Brazil,3,2,0,3,0
David Silva,35,1/8/1986,Premier League,2018/2019,Midfielder,Manchester City,2411,Spain,6,8,0,3,0
Davide Zappacosta,28,6/11/1992,Premier League,2018/2019,Defender,Chelsea,125,Italy,0,0,0,0,0
Davinson Sánchez Mina,24,6/12/1996,Premier League,2018/2019,Defender,Tottenham Hotspur,1943,Colombia,1,1,0,2,0
Davy Pröpper,29,9/2/1991,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2551,Netherlands,1,1,0,2,0
DeAndre Yedlin,27,7/9/1993,Premier League,2018/2019,Defender,Newcastle United,2475,USA,1,2,0,7,1
Declan Rice,22,1/14/1999,Premier League,2018/2019,Midfielder,West Ham United,3005,Republic of Ireland,2,0,0,4,0
Dejan Lovren,31,7/5/1989,Premier League,2018/2019,Defender,Liverpool,985,Croatia,1,0,0,1,0
Dele Alli,24,4/11/1996,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1827,England,5,3,0,4,0
Demarai Gray,24,6/28/1996,Premier League,2018/2019,Midfielder,Leicester City,1992,England,4,1,0,2,0
Demeaco Duhaney,22,10/13/1998,Premier League,2018/2019,Defender,Huddersfield Town,46,England,0,0,0,0,0
Denis Odoi,32,5/27/1988,Premier League,2018/2019,Defender,Fulham,2593,Belgium,0,1,0,4,0
Denis Suárez,27,1/6/1994,Premier League,2018/2019,Midfielder,Arsenal,67,Spain,0,0,0,0,0
Diego Rico,28,2/23/1993,Premier League,2018/2019,Defender,AFC Bournemouth,607,Spain,0,0,0,1,0
Diogo José Teixeira da Silva,24,12/4/1996,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,2371,Portugal,9,5,0,11,0
Divock Origi,25,4/18/1995,Premier League,2018/2019,Forward,Liverpool,366,Belgium,3,1,0,0,0
Domingos Quina,21,11/18/1999,Premier League,2018/2019,Midfielder,Watford,335,Portugal,1,0,0,0,0
Dominic Calvert-Lewin,24,3/16/1997,Premier League,2018/2019,Forward,Everton,1774,England,6,2,0,3,0
Dominic Solanke,23,9/14/1997,Premier League,2018/2019,Forward,AFC Bournemouth,341,England,0,1,0,0,0
Dwight McNeil,21,11/22/1999,Premier League,2018/2019,Forward,Burnley,1599,England,3,5,0,2,0
Eden Hazard,30,1/7/1991,Premier League,2018/2019,Midfielder,Chelsea,2926,Belgium,16,15,4,2,0
Ederson,27,8/17/1993,Premier League,2018/2019,Goalkeeper,Manchester City,3420,Brazil,0,1,0,2,0
Edward Nketiah,21,5/30/1999,Premier League,2018/2019,Forward,Arsenal,62,England,1,0,0,0,0
Elias Kachunga,28,4/22/1992,Premier League,2018/2019,Forward,Huddersfield Town,1181,Congo DR,0,0,0,2,0
Emerson Hyndman,25,4/9/1996,Premier League,2018/2019,Midfielder,AFC Bournemouth,37,USA,0,0,0,0,0
Emerson Palmieri dos Santos,26,8/3/1994,Premier League,2018/2019,Defender,Chelsea,660,Italy,0,0,0,0,0
Emile Smith Rowe,20,7/28/2000,Premier League,2018/2019,Midfielder,Arsenal,0,England,0,0,0,0,0
Eric Bertrand Bailly,26,4/12/1994,Premier League,2018/2019,Defender,Manchester United,637,Côte d'Ivoire,0,0,0,1,1
Eric Dier,27,1/15/1994,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1510,England,3,0,0,4,0
Erik Durm,28,5/12/1992,Premier League,2018/2019,Defender,Huddersfield Town,2052,Germany,0,1,0,0,0
Erik Lamela,29,3/4/1992,Premier League,2018/2019,Midfielder,Tottenham Hotspur,971,Argentina,4,2,0,2,0
Ethan Ampadu,20,9/14/2000,Premier League,2018/2019,Midfielder,Chelsea,0,Wales,0,0,0,0,0
Etienne Capoue,32,7/11/1988,Premier League,2018/2019,Midfielder,Watford,2947,France,1,3,0,15,1
Fabián Cornelio Balbuena González,29,8/23/1991,Premier League,2018/2019,Defender,West Ham United,2014,Paraguay,1,0,0,2,0
Fabian Delph,31,11/21/1989,Premier League,2018/2019,Midfielder,Manchester City,725,England,0,1,0,2,1
Fabian Schär,29,12/20/1991,Premier League,2018/2019,Defender,Newcastle United,2002,Switzerland,4,1,0,12,0
Fabinho,27,10/23/1993,Premier League,2018/2019,Midfielder,Liverpool,2013,Brazil,1,2,0,6,0
Fabricio Martín Agosto Ramírez,33,12/31/1987,Premier League,2018/2019,Goalkeeper,Fulham,180,Spain,0,0,0,0,0
Faustino Marcos Alberto Rojo,31,3/20/1990,Premier League,2018/2019,Defender,Manchester United,211,Argentina,0,0,0,2,0
Federico Fernández,32,2/21/1989,Premier League,2018/2019,Defender,Newcastle United,1484,Argentina,0,1,0,2,0
Felipe Anderson Pereira Gomes,27,4/15/1993,Premier League,2018/2019,Midfielder,West Ham United,3054,Brazil,9,4,0,3,0
Fernando Llorente Torres,36,2/26/1985,Premier League,2018/2019,Forward,Tottenham Hotspur,683,Spain,1,4,0,2,0
