name,age,birthday,league,season,position,current_club,minutes_played_overall,nationality,goals_overall,assists_overall,penalty_goals,yellow_cards_overall,red_cards_overall
Mason Holgate,24,10/22/1996,Premier League,2018/2019,Defender,Everton,407,England,0,0,0,1,0
Matěj Vydra,28,5/1/1992,Premier League,2018/2019,Forward,Burnley,311,Czech Republic,1,1,0,1,0
Mateo Kovačić,26,5/6/1994,Premier League,2018/2019,Midfielder,Chelsea,1743,Croatia,0,2,0,3,0
Mathew Ryan,28,4/8/1992,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,3060,Australia,0,0,0,2,0
Mathias Jattah-Njie Jørgensen,30,4/23/1990,Premier League,2018/2019,Defender,Huddersfield Town,2148,Denmark,3,1,0,6,0
Matt Butcher,23,5/14/1997,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,England,0,0,0,0,0
Matt Doherty,29,1/16/1992,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3147,Republic of Ireland,4,5,0,5,0
Matt Ritchie,31,9/10/1989,Premier League,2018/2019,Midfielder,Newcastle United,2940,Scotland,2,8,1,9,0
Matt Targett,25,9/18/1995,Premier League,2018/2019,Defender,Southampton,1185,England,1,3,0,2,0
Matteo Darmian,31,12/2/1989,Premier League,2018/2019,Defender,Manchester United,443,Italy,0,0,0,0,0
Mattéo Guendouzi Olié,21,4/14/1999,Premier League,2018/2019,Midfielder,Arsenal,2143,France,0,0,0,9,0
Matthew Connolly,33,9/24/1987,Premier League,2018/2019,Defender,Cardiff City,0,England,0,0,0,0,0
Matthew Lowton,31,6/9/1989,Premier League,2018/2019,Defender,Burnley,1748,England,0,0,0,7,0
Matty Daly,20,3/10/2001,Premier League,2018/2019,Midfielder,Huddersfield Town,73,England,0,0,0,0,0
Max Harrison Sanders,22,1/4/1999,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,0,England,0,0,0,0,0
Max Kilman,23,5/23/1997,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,England,0,0,0,0,0
Max Meyer,25,9/18/1995,Premier League,2018/2019,Midfielder,Crystal Palace,1414,Germany,1,2,0,3,0
Maxime Le Marchand,31,10/11/1989,Premier League,2018/2019,Defender,Fulham,2251,France,0,1,0,5,0
Maya Yoshida,32,8/24/1988,Premier League,2018/2019,Defender,Southampton,1520,Japan,0,1,0,0,0
Mesut Özil,32,10/15/1988,Premier League,2018/2019,Midfielder,Arsenal,1741,Germany,5,2,0,2,0
Michael Keane,28,1/11/1993,Premier League,2018/2019,Defender,Everton,2970,England,1,2,0,2,0
Michael Obafemi,20,7/6/2000,Premier League,2018/2019,Forward,Southampton,134,Republic of Ireland,1,1,0,1,0
Michail Antonio,31,3/28/1990,Premier League,2018/2019,Midfielder,West Ham United,2099,England,6,4,0,3,0
Michel Vorm,37,10/20/1983,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,180,Netherlands,0,0,0,0,0
Michy Batshuayi,27,10/2/1993,Premier League,2018/2019,Forward,Crystal Palace,756,Belgium,5,0,0,0,0
Miguel Ángel Almirón Rejala,27,2/10/1994,Premier League,2018/2019,Midfielder,Newcastle United,763,Paraguay,0,0,0,0,0
Miguel Ángel Britos Cabrera,35,7/17/1985,Premier League,2018/2019,Defender,Watford,185,Uruguay,0,0,0,0,0
Mohamed Diamé,33,6/14/1987,Premier League,2018/2019,Midfielder,Newcastle United,2165,Senegal,0,0,0,3,0
Mohamed Elneny,28,7/11/1992,Premier League,2018/2019,Midfielder,Arsenal,381,Egypt,0,0,0,0,0
Mohamed Elyounoussi,26,8/4/1994,Premier League,2018/2019,Midfielder,Southampton,790,Norway,0,0,0,0,0
Mohamed Salah,28,6/15/1992,Premier League,2018/2019,Forward,Liverpool,3262,Egypt,22,8,3,1,0
Morgan Gibbs-White,21,1/27/2000,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,647,England,0,1,0,1,0
Morgan Schneiderlin,31,11/8/1989,Premier League,2018/2019,Midfielder,Everton,833,France,0,1,0,2,0
Moussa Dembele,33,7/16/1987,Premier League,2018/2019,Midfielder,Tottenham Hotspur,516,Belgium,0,0,0,1,0
Moussa Sissoko,31,8/16/1989,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2336,France,0,3,0,2,0
N'Golo Kanté,30,3/29/1991,Premier League,2018/2019,Midfielder,Chelsea,3096,France,4,4,0,3,0
Naby Deco Keïta,26,2/10/1995,Premier League,2018/2019,Midfielder,Liverpool,1392,Guinea,2,1,0,0,0
Nacho Monreal,35,2/26/1986,Premier League,2018/2019,Defender,Arsenal,1861,Spain,1,3,0,5,0
Nampalys Mendy,28,6/23/1992,Premier League,2018/2019,Midfielder,Leicester City,2088,France,0,0,0,5,0
Nathan Aké,26,2/18/1995,Premier League,2018/2019,Defender,AFC Bournemouth,3412,Netherlands,4,0,0,3,0
Nathan Holland,22,6/19/1998,Premier League,2018/2019,Midfielder,West Ham United,0,England,0,0,0,0,0
Nathan Redmond,27,3/6/1994,Premier League,2018/2019,Midfielder,Southampton,3276,England,6,4,0,3,0
Nathaniel Chalobah,26,12/12/1994,Premier League,2018/2019,Midfielder,Watford,266,England,0,0,0,2,0
Nathaniel Clyne,30,4/5/1991,Premier League,2018/2019,Defender,AFC Bournemouth,1254,England,0,1,0,2,0
Nathaniel Mendez-Laing,28,4/15/1992,Premier League,2018/2019,Midfielder,Cardiff City,984,England,4,1,1,0,0
Neeskens Kebano,29,3/10/1992,Premier League,2018/2019,Midfielder,Fulham,103,Congo DR,0,0,0,0,0
Neil Leonard Dula Etheridge,31,2/7/1990,Premier League,2018/2019,Goalkeeper,Cardiff City,3420,Philippines,0,0,0,2,0
Nemanja Matić,32,8/1/1988,Premier League,2018/2019,Midfielder,Manchester United,2441,Serbia,1,0,0,8,1
Nicolas Otamendi,33,2/12/1988,Premier League,2018/2019,Defender,Manchester City,1233,Argentina,0,0,0,1,0
Nikola Tavares,22,1/17/1999,Premier League,2018/2019,Defender,Crystal Palace,0,England,0,0,0,0,0
Nnamdi Ofoborh,21,11/7/1999,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,England,0,0,0,0,0
Oleksandr Zinchenko,24,12/15/1996,Premier League,2018/2019,Midfielder,Manchester City,1153,Ukraine,0,3,0,1,0
Oliver Skipp,20,9/16/2000,Premier League,2018/2019,Midfielder,Tottenham Hotspur,216,England,0,0,0,0,0
Olivier Giroud,34,9/30/1986,Premier League,2018/2019,Forward,Chelsea,832,France,2,4,0,1,0
Onyinye Wilfred Ndidi,24,12/16/1996,Premier League,2018/2019,Midfielder,Leicester City,3299,Nigeria,2,0,0,8,0
Oriol Romeu,29,9/24/1991,Premier League,2018/2019,Midfielder,Southampton,2140,Spain,1,0,0,11,0
Oumar Niasse,30,4/18/1990,Premier League,2018/2019,Forward,Cardiff City,998,Senegal,0,0,0,0,0
Pablo Zabaleta,36,1/16/1985,Premier League,2018/2019,Defender,West Ham United,2092,Argentina,0,1,0,4,0
Pape N'Diaye Souaré,30,6/6/1990,Premier League,2018/2019,Defender,Crystal Palace,0,Senegal,0,0,0,0,0
Pascal Groß,29,6/15/1991,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1878,Germany,3,3,1,1,0
Patrick van Aanholt,30,8/29/1990,Premier League,2018/2019,Defender,Crystal Palace,3198,Netherlands,3,2,0,3,0
Paul Dummett,29,9/26/1991,Premier League,2018/2019,Defender,Newcastle United,1986,Wales,0,0,0,1,0
Paul Pogba,28,3/15/1993,Premier League,2018/2019,Midfielder,Manchester United,3011,France,13,9,7,6,0
Paulo Dino Gazzaniga,29,1/2/1992,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,270,Argentina,0,0,0,0,0
Pedro Obiang,29,3/27/1992,Premier League,2018/2019,Midfielder,West Ham United,1121,Equatorial Guinea,0,1,0,0,0
Pedro Rodriguez,33,7/28/1987,Premier League,2018/2019,Midfielder,Chelsea,1780,Spain,8,2,0,2,0
Peter Crouch,40,1/30/1981,Premier League,2018/2019,Forward,Burnley,86,England,0,0,0,1,0
Petr Čech,38,5/20/1982,Premier League,2018/2019,Goalkeeper,Arsenal,585,Czech Republic,0,0,0,0,0
Phil Bardsley,35,6/28/1985,Premier League,2018/2019,Defender,Burnley,1672,Scotland,0,0,0,9,0
Phil Jagielka,38,8/17/1982,Premier League,2018/2019,Defender,Everton,329,England,1,0,0,1,1
Phil Jones,29,2/21/1992,Premier League,2018/2019,Defender,Manchester United,1263,England,0,1,0,1,0
Philip Billing,24,6/11/1996,Premier League,2018/2019,Midfielder,Huddersfield Town,2192,Denmark,2,0,0,7,0
Philip Foden,20,5/28/2000,Premier League,2018/2019,Midfielder,Manchester City,327,England,1,0,0,0,0
Philippe Sandler,24,2/10/1997,Premier League,2018/2019,Defender,Manchester City,0,Netherlands,0,0,0,0,0
Pierre-Emerick Aubameyang,31,6/18/1989,Premier League,2018/2019,Forward,Arsenal,2731,Gabon,22,5,4,0,0
Pierre-Emile Højbjerg,25,8/5/1995,Premier League,2018/2019,Midfielder,Southampton,2764,Denmark,4,3,0,10,2
Rachid Ghezzal,28,5/9/1992,Premier League,2018/2019,Forward,Leicester City,738,Algeria,1,0,0,3,0
Rafael Euclides Soares Camacho,20,5/22/2000,Premier League,2018/2019,Midfielder,Liverpool,0,Portugal,0,0,0,0,0
Raheem Sterling,26,12/8/1994,Premier League,2018/2019,Forward,Manchester City,2777,England,17,10,0,3,0
Rajiv van La Parra,29,6/4/1991,Premier League,2018/2019,Midfielder,Huddersfield Town,407,Netherlands,0,0,0,0,0
Ramadan Sobhi,24,1/23/1997,Premier League,2018/2019,Forward,Huddersfield Town,75,Egypt,0,0,0,0,0
Raúl Alonso Jiménez Rodríguez,29,5/5/1991,Premier League,2018/2019,Forward,Wolverhampton Wanderers,3124,Mexico,13,7,2,4,0
Rhys Healey,26,12/6/1994,Premier League,2018/2019,Forward,Cardiff City,49,England,0,0,0,0,0
Ricardo Domingos Barbosa Pereira,27,10/6/1993,Premier League,2018/2019,Defender,Leicester City,3125,Portugal,2,6,0,7,0
Richarlison de Andrade,23,5/10/1997,Premier League,2018/2019,Forward,Everton,2679,Brazil,13,1,0,6,1
Riyad Mahrez,30,2/21/1991,Premier League,2018/2019,Midfielder,Manchester City,1339,Algeria,7,4,0,0,0
Rob Holding,25,9/20/1995,Premier League,2018/2019,Defender,Arsenal,807,England,0,0,0,1,0
Robbie Brady,29,1/14/1992,Premier League,2018/2019,Midfielder,Burnley,715,Republic of Ireland,0,1,0,4,1
Robert Kenedy Nunes do Nascimento,25,2/8/1996,Premier League,2018/2019,Midfielder,Newcastle United,1344,Brazil,1,1,0,1,0
Robert Snodgrass,33,9/7/1987,Premier League,2018/2019,Midfielder,West Ham United,2222,Scotland,2,5,0,10,0
Roberto Firmino,29,10/2/1991,Premier League,2018/2019,Forward,Liverpool,2620,Brazil,12,6,1,0,0
Roberto Maximiliano Pereyra,30,1/7/1991,Premier League,2018/2019,Forward,Watford,2825,Argentina,6,1,0,3,0
Romain Saïss,31,3/26/1990,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1144,Morocco,2,0,0,7,0
Romelu Lukaku,27,5/13/1993,Premier League,2018/2019,Forward,Manchester United,2130,Belgium,12,0,0,4,0
Rondon,31,9/16/1989,Premier League,2018/2019,Forward,Newcastle United,2609,Venezuela,11,7,0,1,0
Ross Barkley,27,12/5/1993,Premier League,2018/2019,Midfielder,Chelsea,1241,England,3,5,0,1,0
Rúben Diogo Da Silva Neves,24,3/13/1997,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3009,Portugal,4,3,2,8,0
Rúben Gonçalo Silva Nascimento Vinagre,22,4/9/1999,Premier League,2018/2019,Defender,Wolverhampton Wanderers,703,Portugal,0,0,0,1,0
Ruben Loftus-Cheek,25,1/23/1996,Premier League,2018/2019,Midfielder,Chelsea,983,England,6,2,0,0,0
Rui Pedro dos Santos Patrício,33,2/15/1988,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,3330,Portugal,0,0,0,0,0
Ryan Bennett,31,3/6/1990,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3060,England,1,0,0,12,0
Ryan Bertrand,31,8/5/1989,Premier League,2018/2019,Defender,Southampton,2160,England,1,0,0,8,0
Ryan Fraser,27,2/24/1994,Premier League,2018/2019,Midfielder,AFC Bournemouth,3173,Scotland,7,14,0,2,0
Ryan Fredericks,28,10/10/1992,Premier League,2018/2019,Midfielder,West Ham United,1085,England,1,0,0,5,0
Ryan Giles,21,1/26/2000,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,0,England,0,0,0,0,0
Ryan Guno Babel,34,12/19/1986,Premier League,2018/2019,Forward,Fulham,1260,Netherlands,5,3,0,3,0
Ryan Schofield,21,12/11/1999,Premier League,2018/2019,Goalkeeper,Huddersfield Town,0,England,0,0,0,0,0
Ryan Sessegnon,20,5/18/2000,Premier League,2018/2019,Defender,Fulham,2298,England,2,6,0,0,0
Sadio Mané,28,4/10/1992,Premier League,2018/2019,Forward,Liverpool,3086,Senegal,22,1,0,2,0
Sam Gallagher,25,9/15/1995,Premier League,2018/2019,Forward,Southampton,30,England,0,0,0,0,0
Sam Surridge,22,7/28/1998,Premier League,2018/2019,Forward,AFC Bournemouth,11,England,0,0,0,0,0
Sam Vokes,31,10/21/1989,Premier League,2018/2019,Forward,Burnley,913,Wales,3,0,0,0,0
Sam Woods,22,9/11/1998,Premier League,2018/2019,Defender,Crystal Palace,0,England,0,0,0,0,0
Samir Nasri,33,6/26/1987,Premier League,2018/2019,Midfielder,West Ham United,246,France,0,2,0,0,0
Sandro Ramirez,25,7/9/1995,Premier League,2018/2019,Forward,Everton,0,Spain,0,0,0,0,0
Scott Dann,34,2/14/1987,Premier League,2018/2019,Defender,Crystal Palace,660,England,0,1,0,1,0
Scott McTominay,24,12/8/1996,Premier League,2018/2019,Midfielder,Manchester United,861,England,2,0,0,1,0
Sead Kolašinac,27,6/20/1993,Premier League,2018/2019,Defender,Arsenal,1891,Bosnia and Herzegovina,0,5,0,5,0
Séamus Coleman,32,10/11/1988,Premier League,2018/2019,Defender,Everton,2560,Republic of Ireland,2,2,0,1,0
Sean Longstaff,23,10/30/1997,Premier League,2018/2019,Midfielder,Newcastle United,688,England,1,0,0,2,0
Sean Morrison,30,1/8/1991,Premier League,2018/2019,Defender,Cardiff City,3040,England,1,3,0,6,0
Sebastian Prödl,33,6/21/1987,Premier League,2018/2019,Defender,Watford,13,Austria,0,0,0,0,0
Serge Aurier,28,12/24/1992,Premier League,2018/2019,Defender,Tottenham Hotspur,564,Côte d'Ivoire,0,2,0,1,0
Sergio Aguero,32,6/2/1988,Premier League,2018/2019,Forward,Manchester City,2480,Argentina,21,8,2,3,0
Sergio Germán Romero,34,2/22/1987,Premier League,2018/2019,Goalkeeper,Manchester United,0,Argentina,0,0,0,0,0
Sergio Rico,27,9/1/1993,Premier League,2018/2019,Goalkeeper,Fulham,2610,Spain,0,0,0,1,0
Shane Duffy,29,1/1/1992,Premier League,2018/2019,Defender,Brighton & Hove Albion,3088,Republic of Ireland,5,1,0,5,1
Shane Long,34,1/22/1987,Premier League,2018/2019,Forward,Southampton,1269,Republic of Ireland,5,1,0,3,0
Shinji Okazaki,34,4/16/1986,Premier League,2018/2019,Forward,Leicester City,269,Japan,0,1,0,0,0
Shkodran Mustafi,28,4/17/1992,Premier League,2018/2019,Defender,Arsenal,2617,Germany,2,0,0,9,0
Simon Francis,36,2/16/1985,Premier League,2018/2019,Defender,AFC Bournemouth,1226,England,0,2,0,1,0
Simon Mignolet,33,3/6/1988,Premier League,2018/2019,Goalkeeper,Liverpool,0,Belgium,0,0,0,0,0
Sokratis Papastathopoulos,32,6/9/1988,Premier League,2018/2019,Defender,Arsenal,2199,Greece,1,2,0,12,0
Solomon March,26,7/20/1994,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2473,England,1,5,0,1,0
Souleymane Bamba,36,1/13/1985,Premier League,2018/2019,Defender,Cardiff City,2475,Côte d'Ivoire,4,1,0,7,0
Stefan Marius Johansen,30,1/8/1991,Premier League,2018/2019,Midfielder,Fulham,412,Norway,0,0,0,4,0
Stefano Okaka,31,8/9/1989,Premier League,2018/2019,Forward,Watford,22,Italy,0,0,0,1,0
Stephan Lichtsteiner,37,1/16/1984,Premier League,2018/2019,Defender,Arsenal,940,Switzerland,0,0,0,3,0
Stephen Ward,35,8/20/1985,Premier League,2018/2019,Defender,Burnley,230,Republic of Ireland,0,0,0,1,0
Steve Cook,29,4/19/1991,Premier League,2018/2019,Defender,AFC Bournemouth,2787,England,1,1,0,3,0
Steve Mounié,26,9/29/1994,Premier League,2018/2019,Forward,Huddersfield Town,1777,Benin,2,3,0,2,1
Steven Davis,36,1/1/1985,Premier League,2018/2019,Midfielder,Southampton,96,Northern Ireland,0,1,0,0,0
Steven Defour,32,4/15/1988,Premier League,2018/2019,Midfielder,Burnley,452,Belgium,0,0,0,0,0
Stuart Armstrong,29,3/30/1992,Premier League,2018/2019,Midfielder,Southampton,1432,Scotland,3,2,0,2,0
Sullay Kaikai,25,8/26/1995,Premier League,2018/2019,Midfielder,Crystal Palace,0,England,0,0,0,0,0
Sung-Yeung Ki,32,1/24/1989,Premier League,2018/2019,Midfielder,Newcastle United,1302,South Korea,0,1,0,2,0
Tahith Chong,21,12/4/1999,Premier League,2018/2019,Forward,Manchester United,36,Netherlands,0,0,0,0,0
Terence Kongolo,27,2/14/1994,Premier League,2018/2019,Defender,Huddersfield Town,2722,Netherlands,1,1,0,4,0
Theo Walcott,32,3/16/1989,Premier League,2018/2019,Forward,Everton,2122,England,5,2,0,1,0
Tim Ream,33,10/5/1987,Premier League,2018/2019,Defender,Fulham,2051,USA,0,0,0,1,0
Timothy Eyoma,21,1/29/2000,Premier League,2018/2019,Defender,Tottenham Hotspur,0,England,0,0,0,0,0
Timothy Fosu-Mensah,23,1/2/1998,Premier League,2018/2019,Defender,Fulham,795,Netherlands,0,0,0,3,0
Toby Alderweireld,32,3/2/1989,Premier League,2018/2019,Defender,Tottenham Hotspur,2924,Belgium,0,0,0,3,0
Tom Cairney,30,1/20/1991,Premier League,2018/2019,Midfielder,Fulham,2198,Scotland,1,1,0,0,0
Tom Cleverley,31,8/12/1989,Premier League,2018/2019,Midfielder,Watford,470,England,1,0,0,2,0
Tom Davies,22,6/30/1998,Premier League,2018/2019,Midfielder,Everton,975,England,0,0,0,3,0
Tom Heaton,34,4/15/1986,Premier League,2018/2019,Goalkeeper,Burnley,1710,England,0,0,0,3,0
Tom Smith,28,4/14/1992,Premier League,2018/2019,Defender,Huddersfield Town,1141,England,0,0,0,3,1
Trent Alexander-Arnold,22,10/7/1998,Premier League,2018/2019,Defender,Liverpool,2467,England,1,12,0,3,0
Troy Deeney,32,6/29/1988,Premier League,2018/2019,Forward,Watford,2548,England,9,5,1,5,1
Tyias Browning,26,5/27/1994,Premier League,2018/2019,Defender,Everton,0,England,0,0,0,0,0
Tyreke Johnson,22,11/3/1998,Premier League,2018/2019,Defender,Southampton,0,England,0,0,0,0,0
Tyrone Mings,28,3/13/1993,Premier League,2018/2019,Defender,AFC Bournemouth,141,England,0,0,0,0,0
Vicente Guaita,34,1/10/1987,Premier League,2018/2019,Goalkeeper,Crystal Palace,1755,Spain,0,0,0,2,0
Vicente Iborra De La Fuente,33,1/16/1988,Premier League,2018/2019,Midfielder,Leicester City,226,Spain,0,0,0,0,0
Víctor Camarasa,26,5/28/1994,Premier League,2018/2019,Midfielder,Cardiff City,2579,Spain,5,4,1,6,0
Victor Moses,30,12/12/1990,Premier League,2018/2019,Midfielder,Chelsea,26,Nigeria,0,0,0,0,0
Victor Nilsson Lindelöf,26,7/17/1994,Premier League,2018/2019,Defender,Manchester United,2602,Sweden,1,1,0,1,0
Victor Wanyama,29,6/25/1991,Premier League,2018/2019,Midfielder,Tottenham Hotspur,509,Kenya,1,0,0,2,0
Viktor Gyökeres,22,6/4/1998,Premier League,2018/2019,Forward,Brighton & Hove Albion,0,Sweden,0,0,0,0,0
Vincent Janssen,26,6/15/1994,Premier League,2018/2019,Forward,Tottenham Hotspur,36,Netherlands,0,0,0,0,0
Vincent Kompany,34,4/10/1986,Premier League,2018/2019,Defender,Manchester City,1223,Belgium,1,0,0,6,0
Virgil van Dijk,29,7/8/1991,Premier League,2018/2019,Defender,Liverpool,3385,Netherlands,4,2,0,1,0
Wayne Hennessey,34,1/24/1987,Premier League,2018/2019,Goalkeeper,Crystal Palace,1575,Wales,0,0,0,0,0
Wes Morgan,37,1/21/1984,Premier League,2018/2019,Defender,Leicester City,1926,Jamaica,3,0,0,5,2
Wesley Hoedt,27,3/6/1994,Premier League,2018/2019,Defender,Southampton,1170,Netherlands,0,0,0,2,0
Wilfredo Daniel Caballero,39,9/28/1981,Premier League,2018/2019,Goalkeeper,Chelsea,180,Argentina,0,0,0,0,0
Wilfried Zaha,28,11/10/1992,Premier League,2018/2019,Midfielder,Crystal Palace,3041,Côte d'Ivoire,10,5,0,10,1
Will Hughes,25,4/17/1995,Premier League,2018/2019,Midfielder,Watford,2436,England,2,4,0,5,0
Will Norris,27,8/12/1993,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,0,England,0,0,0,0,0
Willian,32,8/9/1988,Premier League,2018/2019,Forward,Chelsea,2108,Brazil,3,6,0,2,0
Willy Boly,30,2/3/1991,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3169,France,4,0,0,3,1
Xherdan Shaqiri,29,10/10/1991,Premier League,2018/2019,Midfielder,Liverpool,1058,Switzerland,6,3,0,2,0
Yann Valery,22,2/22/1999,Premier League,2018/2019,Defender,Southampton,1715,France,2,1,0,5,1
Yerry Fernando Mina González,26,9/23/1994,Premier League,2018/2019,Defender,Everton,890,Colombia,1,0,0,3,0
Yoshinori Muto,28,7/15/1992,Premier League,2018/2019,Forward,Newcastle United,516,Japan,1,0,0,1,0
Youri Tielemans,23,5/7/1997,Premier League,2018/2019,Midfielder,Leicester City,1092,Belgium,3,4,0,2,0
Yves Bissouma,24,8/30/1996,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1769,Mali,0,0,0,5,0
Zechariah Medley,20,7/7/2000,Premier League,2018/2019,Defender,Arsenal,0,England,0,0,0,0,0
Zeze Steven Sessegnon,20,5/18/2000,Premier League,2018/2019,Defender,Fulham,0,England,0,0,0,0,0
Łukasz Fabiański,35,4/18/1985,Premier League,2018/2019,Goalkeeper,West Ham United,3420,Poland,0,0,0,0,0
